Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,Type,Premises,Address,Postcode,Coordinates,Polling_area
Ainslie North,"Type: Static Polling Place<br>Name: Ainslie North<br>Premises: North Ainslie Primary School<br>Address: 136 Majura Avenue<br>Postcode: 2602<br>Coordinates: lat: -35.255295, lng: 149.147507<br>Polling area: Senior Hall",,,,,,,"-1",,,Static Polling Place,North Ainslie Primary School,136 Majura Avenue,"2602","lat: -35.255295, lng: 149.147507",Senior Hall
Amaroo,"Type: Static Polling Place<br>Name: Amaroo<br>Premises: Amaroo School<br>Address: 135 Katherine Avenue<br>Postcode: 2914<br>Coordinates: lat: -35.164513, Ing: 149.128387<br>Polling area: Hall/Canteen",,,,,,,"-1",,,Static Polling Place,Amaroo School,135 Katherine Avenue,"2914","lat: -35.164513, Ing: 149.128387",Hall/Canteen
Aranda,"Type: Static Polling Place<br>Name: Aranda<br>Premises: Aranda Primary School<br>Address: 1 Banambila Street<br>Postcode: 2614<br>Coordinates: lat: -35.255314, lng: 149.080322<br>Polling area: General Purpose Hall",,,,,,,"-1",,,Static Polling Place,Aranda Primary School,1 Banambila Street,"2614","lat: -35.255314, lng: 149.080322",General Purpose Hall
Belconnen,"Type: Early Voting Centre<br>Name: Belconnen<br>Premises: Belconnen Community Centre<br>Address: cnr Swanson Court and Chandler Street<br>Postcode: 2617<br>Coordinates: lat: -35.23915,  lng: 149.070362<br>Polling area: Gym",,,,,,,"-1",,,Early Voting Centre,Belconnen Community Centre,cnr Swanson Court and Chandler Street,"2617","lat: -35.23915,  lng: 149.070362",Gym
Bonner,"Type: Static Polling Place<br>Name: Bonner<br>Premises: Neville Bonner Primary School<br>Address: 60 Mabo Boulevard<br>Postcode: 2914<br>Coordinates: lat: -35.161709, lng: 149.140756<br>Polling area: School Hall",,,,,,,"-1",,,Static Polling Place,Neville Bonner Primary School,60 Mabo Boulevard,"2914","lat: -35.161709, lng: 149.140756",School Hall
Bonython,"Type: Static Polling Place<br>Name: Bonython<br>Premises: Bonython Primary School<br>Address: 64 Hurtle Ave<br>Postcode: 2615<br>Coordinates: lat: -35.430943, lng: 149.08252<br>Polling area: Hall",,,,,,,"-1",,,Static Polling Place,Bonython Primary School,64 Hurtle Ave,"2615","lat: -35.430943, lng: 149.08252",Hall
Ainslie,"Type: Static Polling Place<br>Name: Ainslie<br>Premises: Ainslie School<br>Address: 33 Donaldson Street<br>Postcode: 2612<br>Coordinates: lat: -35.273299, Ing: 149.141730<br>Polling area: YERRA Building",,,,,,,"-1",,,Static Polling Place,Ainslie School,33 Donaldson Street,"2612","lat: -35.273299, Ing: 149.141730",YERRA Building
Calwell,"Type: Static Polling Place<br>Name: Calwell<br>Premises: Calwell High School<br>Address: 111 Casey Crescent<br>Postcode: 2905<br>Coordinates: lat: -35.440746, Ing: 149.117599<br>Polling area: Gym",,,,,,,"-1",,,Static Polling Place,Calwell High School,111 Casey Crescent,"2905","lat: -35.440746, Ing: 149.117599",Gym
Campbell,"Type: Static Polling Place<br>Name: Campbell<br>Premises: Campbell Primary School<br>Address: 25 Chauvel St<br>Postcode: 2612<br>Coordinates: lat: -35.290752, Ing: 149.155594<br>Polling area: AssGym",,,,,,,"-1",,,Static Polling Place,Campbell Primary School,25 Chauvel St,"2612","lat: -35.290752, Ing: 149.155594",AssGym
City,"Type: Early Voting Centre<br>Name: City<br>Premises: Pilgrim House<br>Address: 69 Northbourne Ave<br>Postcode: 2601<br>Coordinates: lat: -35.276665, lng: 149.129202<br>Polling area: Riley Hall & Gifford Room",,,,,,,"-1",,,Early Voting Centre,Pilgrim House,69 Northbourne Ave,"2601","lat: -35.276665, lng: 149.129202",Riley Hall & Gifford Room
City East,"Type: Early Voting Centre<br>Name: City East<br>Premises: Canberra Museam and Gallery<br>Address: 176 London Circuit<br>Postcode: 2601<br>Coordinates: lat: -35.28051, Ing: 149.13086<br>Polling area: Gallery 1",,,,,,,"-1",,,Early Voting Centre,Canberra Museam and Gallery,176 London Circuit,"2601","lat: -35.28051, Ing: 149.13086",Gallery 1
Chapman,"Type: Static Polling Place<br>Name: Chapman<br>Premises: Chapman Primary School<br>Address: 50 Perry Drive<br>Postcode: 2611<br>Coordinates: lat: -35.356277, Ing: 149.043015<br>Polling area: School Hall",,,,,,,"-1",,,Static Polling Place,Chapman Primary School,50 Perry Drive,"2611","lat: -35.356277, Ing: 149.043015",School Hall
Charnwood,"Type: Static Polling Place<br>Name: Charnwood<br>Premises: St Thomas Aquinas Primary School<br>Address: 25 Lhotsky Street<br>Postcode: 2617<br>Coordinates: lat: -35.205223, lng: 149.030483<br>Polling area: Hall",,,,,,,"-1",,,Static Polling Place,St Thomas Aquinas Primary School,25 Lhotsky Street,"2617","lat: -35.205223, lng: 149.030483",Hall
Charnwood North,"Type: Static Polling Place<br>Name: Charnwood North<br>Premises: Charnwood-Dunlop School<br>Address: 95 Bettington Circuit<br>Postcode: 2615<br>Coordinates: lat: -35.198719, Ing: 149.036179<br>Polling area: School Hall",,,,,,,"-1",,,Static Polling Place,Charnwood-Dunlop School,95 Bettington Circuit,"2615","lat: -35.198719, Ing: 149.036179",School Hall
Chisholm,"Type: Early Voting Centre<br>Name: Chisholm<br>Premises: Unit 3<br>Address: 26 Benham St<br>Postcode: 2905<br>Coordinates: lat: -35.414584, Ing: 149.128351<br>Polling area: ",,,,,,,"-1",,,Early Voting Centre,Unit 3,26 Benham St,"2905","lat: -35.414584, Ing: 149.128351",
Lanyon,"Type: Early Voting Centre<br>Name: Lanyon<br>Premises: Lanyon Marketplace<br>Address: 21 Sidney Nolan Street<br>Postcode: 2906<br>Coordinates: lat: -35.458096, Ing: 149.094136<br>Polling area: Shops 6 & 7",,,,,,,"-1",,,Early Voting Centre,Lanyon Marketplace,21 Sidney Nolan Street,"2906","lat: -35.458096, Ing: 149.094136",Shops 6 & 7
Coombs,"Type: Static Polling Place<br>Name: Coombs<br>Premises: Charles Weston School<br>Address: 80 Woodberry Avenue<br>Postcode: 2904<br>Coordinates: lat: -35.322382, lng: 149.042317<br>Polling area: Hall",,,,,,,"-1",,,Static Polling Place,Charles Weston School,80 Woodberry Avenue,"2904","lat: -35.322382, lng: 149.042317",Hall
Curtin,"Type: Static Polling Place<br>Name: Curtin<br>Premises: Curtin Primary School<br>Address: Theodore Street<br>Postcode: 2605<br>Coordinates: lat: -35.330921, Ing: 149.079758<br>Polling area: Hall",,,,,,,"-1",,,Static Polling Place,Curtin Primary School,Theodore Street,"2605","lat: -35.330921, Ing: 149.079758",Hall
